Title,Author,Rating,Price
World’s Greatest Classics (Box Set of 4 Books),"Jane Austen F. Scott Fitzgerald, Oscar Wilde, Emily Brontë",4.6 out of 5 stars,399
Godaan (Hindi),Munshi Premchand,4.4 out of 5 stars,149
The Power of Your Subconscious Mind (DELUXE HARDBOUND EDITION),Dr. Joseph Murphy,4.5 out of 5 stars,329
The Complete Grimm's Fairy Tales,Jacob Grimm,4.5 out of 5 stars,219
Pinkfong Baby Shark - Police Sharks To The Rescue : Padded Story Books,Wonder House Books,4.5 out of 5 stars,219
Tales from Shakespeare,Charles Lamb and Mary Lamb,4.3 out of 5 stars,149
Shesh Prashna (Hindi),Saratchandra Chattopadhyay,4.2 out of 5 stars,149
Heidi for Kids : illustrated Abridged Children Classics English Novel with Review Questions,Johanna Spyri,4.5 out of 5 stars,149
The Call of the Wild,Jack London,4.4 out of 5 stars,129
How to Stop Worrying and Start Living,DALE CARNEGIE,4.4 out of 5 stars,149
Mind Master: 'Winning Lessons from a Champion's Life *With a bonus chapter on how to navigate in uncertain times,Viswanathan Anand,4.6 out of 5 stars,429
Tales from Indian Mythology (Collection of 10 Books): Story Books For Kids,Mark Twain,3.5 out of 5 stars,499
"History of Modern Psychology, 5ed, An Indian Adaptation: A Global Perspective",C James Goodwin,5.0 out of 5 stars,690
3 Aasaan Stepsma Jeevanne Jeeto,Deep Trivedi,4.7 out of 5 stars,235
Three Men in a Boat for Kids : illustrated Abridged Children Classics English Novel with Review Questions,Kenneth Grahame,4.2 out of 5 stars,149
A BRIEF HISTORY OF EQUALITY,Thomas Piketty,4.5 out of 5 stars,469
Ganesha - Illustrated Stories From Indian History And Mythology in Hindi,Wonder House Books,4.6 out of 5 stars,189
Think and Grow Rich,Napoleon Hill,4.5 out of 5 stars,99
My First 100 Things That Move: Padded Board Books,Wonder House Books,4.3 out of 5 stars,189
Anne of Green Gables,L. M. Montgomery,4.6 out of 5 stars,149
